2026/06/09 01:19:16.272, 0, 230.58, 0, 34, 258187
2026/06/09 01:19:16.278, 1, 222.84, 0, 33, 258187
2026/06/09 01:19:16.281, 2, 225.85, 0, 34, 258187
2026/06/09 01:19:16.284, 3, 230.03, 0, 34, 258187
2026/06/09 01:19:17.287, 0, 314.78, 65, 40, 258187
2026/06/09 01:19:17.287, 1, 314.93, 90, 37, 258187
2026/06/09 01:19:17.287, 2, 330.33, 97, 38, 258187
2026/06/09 01:19:17.287, 3, 319.64, 96, 38, 258187
2026/06/09 01:19:18.287, 0, 395.42, 99, 37, 258187
2026/06/09 01:19:18.288, 1, 376.12, 100, 35, 258187
2026/06/09 01:19:18.288, 2, 372.33, 100, 36, 258187
2026/06/09 01:19:18.288, 3, 384.01, 100, 36, 258187
2026/06/09 01:19:19.288, 0, 387.16, 99, 37, 258187
2026/06/09 01:19:19.288, 1, 373.61, 100, 35, 258187
2026/06/09 01:19:19.288, 2, 377.49, 100, 36, 258187
2026/06/09 01:19:19.288, 3, 381.86, 100, 36, 258187
2026/06/09 01:19:20.288, 0, 387.18, 99, 37, 258187
2026/06/09 01:19:20.288, 1, 375.68, 100, 35, 258187
2026/06/09 01:19:20.288, 2, 378.10, 100, 36, 258187
2026/06/09 01:19:20.288, 3, 381.22, 100, 36, 258187
2026/06/09 01:19:21.289, 0, 387.61, 99, 37, 258187
2026/06/09 01:19:21.289, 1, 374.27, 99, 35, 258187
2026/06/09 01:19:21.289, 2, 378.80, 99, 36, 258187
2026/06/09 01:19:21.289, 3, 382.89, 100, 36, 258187
2026/06/09 01:19:22.289, 0, 387.27, 99, 37, 258187
2026/06/09 01:19:22.289, 1, 372.47, 99, 35, 258187
2026/06/09 01:19:22.289, 2, 378.82, 100, 36, 258187
2026/06/09 01:19:22.289, 3, 381.66, 100, 36, 258187
2026/06/09 01:19:23.289, 0, 351.27, 100, 36, 258187
2026/06/09 01:19:23.289, 1, 337.46, 100, 35, 258187
2026/06/09 01:19:23.289, 2, 335.21, 100, 35, 258187
2026/06/09 01:19:23.289, 3, 344.74, 100, 35, 258187
2026/06/09 01:19:24.289, 0, 324.59, 100, 36, 258187
2026/06/09 01:19:24.290, 1, 312.50, 100, 34, 258187
2026/06/09 01:19:24.290, 2, 316.70, 100, 35, 258187
2026/06/09 01:19:24.290, 3, 319.68, 100, 35, 258187
2026/06/09 01:19:25.290, 0, 325.02, 100, 36, 258187
2026/06/09 01:19:25.290, 1, 312.24, 100, 35, 258187
2026/06/09 01:19:25.290, 2, 317.22, 100, 35, 258187
2026/06/09 01:19:25.290, 3, 319.79, 100, 35, 258187
2026/06/09 01:19:26.290, 0, 325.01, 100, 36, 258187
2026/06/09 01:19:26.290, 1, 313.56, 100, 35, 258187
2026/06/09 01:19:26.290, 2, 316.36, 100, 35, 258187
2026/06/09 01:19:26.290, 3, 319.89, 100, 35, 258187
2026/06/09 01:19:27.290, 0, 325.60, 100, 36, 258187
2026/06/09 01:19:27.291, 1, 313.63, 100, 35, 258187
2026/06/09 01:19:27.291, 2, 318.68, 100, 36, 258187
2026/06/09 01:19:27.291, 3, 320.62, 100, 35, 258187
2026/06/09 01:19:28.291, 0, 324.44, 100, 36, 258187
2026/06/09 01:19:28.291, 1, 312.99, 100, 35, 258187
2026/06/09 01:19:28.291, 2, 316.82, 100, 36, 258187
2026/06/09 01:19:28.291, 3, 319.79, 100, 36, 258187
2026/06/09 01:19:29.291, 0, 325.65, 100, 36, 258187
2026/06/09 01:19:29.291, 1, 312.96, 100, 35, 258187
2026/06/09 01:19:29.291, 2, 316.54, 100, 36, 258187
2026/06/09 01:19:29.291, 3, 320.73, 100, 36, 258187
2026/06/09 01:19:30.291, 0, 325.53, 100, 37, 258187
2026/06/09 01:19:30.291, 1, 313.32, 100, 35, 258187
2026/06/09 01:19:30.291, 2, 316.31, 100, 36, 258187
2026/06/09 01:19:30.291, 3, 320.17, 100, 36, 258187
2026/06/09 01:19:31.292, 0, 325.58, 100, 37, 258187
2026/06/09 01:19:31.292, 1, 313.62, 100, 35, 258187
2026/06/09 01:19:31.292, 2, 317.10, 100, 36, 258187
2026/06/09 01:19:31.292, 3, 321.33, 100, 36, 258187
2026/06/09 01:19:32.292, 0, 326.06, 100, 37, 258187
2026/06/09 01:19:32.292, 1, 313.41, 100, 35, 258187
2026/06/09 01:19:32.292, 2, 316.74, 100, 36, 258187
2026/06/09 01:19:32.292, 3, 320.79, 100, 36, 258187
2026/06/09 01:19:33.292, 0, 309.20, 0, 36, 258187
2026/06/09 01:19:33.292, 1, 292.43, 0, 34, 258187
2026/06/09 01:19:33.292, 2, 292.40, 0, 35, 258187
2026/06/09 01:19:33.292, 3, 301.41, 0, 35, 258187
2026/06/09 01:19:34.292, 0, 312.73, 97, 36, 258187
