concurrency,output_tput_per_gpu_steady,intvty_steady,tpot_steady_ms,ttft_p50_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,gpu_prefix_cache_hit_rate,gpu_kv_usage_perc,cpu_kv_usage_perc,num_running,num_waiting,completed_turns
4,160.57,160.57,6.228,66.129,246.76,4839.212,51961.538,,0.0,,0.0,0.0,1745
8,297.12,148.56,6.731,43.621,80.941,5266.16,53692.308,,0.0,,0.0,0.0,1720
16,518.5,129.87,7.7,45.705,87.733,6374.502,67200.0,0.9987,0.0,,0.0,0.0,1672
32,747.24,93.75,10.667,51.687,99.8,8658.798,105718.182,0.9988,0.0,,0.0,0.0,1571
64,1090.84,68.43,14.613,56.313,138.917,11093.75,115370.526,0.9988,0.0,,0.0,0.0,1333
128,1665.58,56.42,17.724,68.199,206.5,13144.33,114203.077,0.999,0.0,,0.0,0.0,928
