concurrency,output_tput_per_gpu_steady,intvty_steady,tpot_steady_ms,ttft_p50_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,gpu_prefix_cache_hit_rate,gpu_kv_usage_perc,cpu_kv_usage_perc,num_running,num_waiting,completed_turns
4,90.12,90.12,11.096,57.743,192.94,8764.706,90076.923,0.0,0.0,,1.0,0.0,1745
8,168.02,84.01,11.903,53.952,187.04,9311.111,99750.0,0.0,0.0,,1.0,0.0,1720
16,296.63,74.25,13.468,53.901,186.182,10977.444,120380.952,0.0,0.0,,1.0,0.0,1672
32,463.15,57.96,17.253,54.511,189.992,14748.954,171436.364,0.0,0.0,,1.0,0.0,1571
64,705.87,44.23,22.609,56.245,190.993,17645.503,186756.41,0.0,0.0,,1.0,0.0,1333
128,1135.09,36.57,27.345,67.784,196.584,21237.113,187400.0,0.0,0.0,,1.0,0.0,930
