concurrency,completed_turns,failed_turns,request_throughput_per_s,output_throughput_tok_per_s,total_token_throughput_tok_per_s,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,e2e_p50_ms,e2e_p99_ms,isl_median,osl_median,cache_hit_rate
4,684,12,0.3219,407.38,2271.64,503.35,1280.76,1094.0,2500.18,6783.9,58853.21,5130,658,0.6064
8,684,12,0.5407,684.25,3815.54,508.06,1345.73,1242.48,2880.08,7619.64,64319.41,5130,658,0.5742
16,684,12,0.8507,1076.6,6003.39,591.61,1756.44,1342.07,3486.69,8578.66,71585.07,5130,658,0.4991
