concurrency,completed_turns,failed_turns,request_throughput_per_s,output_throughput_tok_per_s,total_token_throughput_tok_per_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,isl_median,osl_median,cache_hit_rate
4,1769,0,0.1732,258.08,1457.24,373.4,449.31,1313.46,15.16,17.36,19.37,12015.81,80527.59,128956.87,5771,766,0.0
8,1769,0,0.2907,433.16,2445.84,380.28,444.77,702.12,18.03,21.28,24.53,14366.52,95283.87,148764.17,5771,766,0.0
16,1769,0,0.4555,678.84,3833.07,374.97,489.56,786.48,22.77,27.25,31.18,17825.3,120817.39,184112.65,5771,766,0.0
32,1769,0,0.6116,911.34,5145.91,391.21,699.99,4299.62,31.38,38.12,55.69,23726.71,162518.23,239626.44,5771,766,0.0
64,1769,0,0.764,1138.46,6428.34,397.9,777.8,6783.83,45.95,61.34,126.51,33275.84,227904.84,334035.06,5771,766,0.0
128,1769,0,0.8705,1297.24,7324.93,678.42,2976.28,5263.19,61.87,136.18,199.95,38895.9,292816.75,426022.75,5771,766,0.0
