concurrency,output_tput_per_gpu,intvty_p50,intvty_p99,ttft_p50_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,gpu_prefix_cache_hit_rate,gpu_kv_usage_perc,cpu_kv_usage_perc,num_running,num_waiting,completed_turns
128,1451.58,56.69,21.52,71.87,240.193,14493.671,189320.69,0.9841,0.0,,0.0,0.0,9798
256,1797.51,34.62,20.04,135.679,249.05,20268.08,234345.732,0.995,0.0,,0.0,0.0,8991
