timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:09:15.935, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:15.935, 3, 226.58 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:16.935, 0, 233.71 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:16.935, 1, 229.81 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:16.935, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:16.935, 3, 226.58 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:17.935, 0, 231.47 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:17.935, 1, 229.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:17.936, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:17.936, 3, 226.58 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:18.936, 0, 230.77 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:18.936, 1, 229.27 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:18.936, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:18.936, 3, 226.58 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:19.936, 0, 230.76 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:19.936, 1, 228.88 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:19.936, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:19.936, 3, 226.58 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:20.936, 0, 230.62 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:20.936, 1, 228.82 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:20.936, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:20.936, 3, 226.58 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:21.936, 0, 495.36 W, 37, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:21.936, 1, 477.84 W, 38, 2070 MHz, 3996 MHz, 99 %, 36 %
2026/06/07 23:09:21.936, 2, 479.80 W, 37, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:21.936, 3, 484.59 W, 38, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:22.936, 0, 418.85 W, 36, 2070 MHz, 3996 MHz, 60 %, 20 %
2026/06/07 23:09:22.936, 1, 415.24 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:22.936, 2, 422.01 W, 36, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:22.936, 3, 421.66 W, 36, 2070 MHz, 3996 MHz, 77 %, 26 %
2026/06/07 23:09:23.937, 0, 234.26 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:23.937, 1, 230.05 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:23.937, 2, 229.72 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:23.937, 3, 227.04 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:24.937, 0, 234.25 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:24.937, 1, 229.88 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:24.937, 2, 228.73 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:24.937, 3, 226.58 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:25.937, 0, 233.96 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:25.937, 1, 229.88 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:25.937, 2, 227.00 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:25.937, 3, 226.58 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:26.937, 0, 234.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:26.937, 1, 229.88 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:26.937, 2, 226.44 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:26.937, 3, 226.58 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:27.938, 0, 234.20 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:27.938, 1, 229.88 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:27.938, 2, 226.51 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:27.938, 3, 226.58 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:28.938, 0, 234.05 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:28.938, 1, 229.73 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:28.938, 2, 226.29 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:28.938, 3, 226.58 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:29.938, 0, 233.42 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:29.938, 1, 229.88 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:29.938, 2, 226.13 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
