concurrency,completed_turns,failed_turns,request_throughput_per_s,output_throughput_tok_per_s,total_token_throughput_tok_per_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,isl_median,osl_median,cache_hit_rate
4,1393,376,0.2482,392.38,2237.87,595.47,3851.97,13091.2,168.37,207.92,292.73,8090.96,45391.17,74006.06,6333,925,0.0
8,1409,360,0.409,652.72,3684.57,704.63,5039.81,17718.41,205.09,253.01,323.41,9783.85,55344.18,88043.82,6307,932,0.0
16,1413,356,0.6044,959.75,5425.41,883.78,6345.12,17921.08,275.29,341.35,521.4,13194.94,74725.75,111437.52,6284,950,0.0
32,1389,380,0.772,1214.22,6976.4,1045.54,7280.91,23412.91,392.05,494.59,690.95,17546.31,104334.99,157098.32,6375,907,0.0
64,1399,370,1.0169,1631.08,9165.03,1360.79,11238.45,28251.19,533.85,661.84,843.56,24159.57,135170.48,200393.65,6301,972,0.0
128,1404,365,1.1976,1925.76,10793.18,1673.28,14365.59,44012.57,655.89,783.53,1042.14,26247.92,159439.24,227477.79,6304,950,0.0
