concurrency,output_tput_per_gpu,intvty_p50,intvty_p99,ttft_p50_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,gpu_prefix_cache_hit_rate,gpu_kv_usage_perc,cpu_kv_usage_perc,num_running,num_waiting,completed_turns
4,159.79,199.6,100.81,60.897,247.093,4757.231,51192.308,0.8994,0.0,,0.0,0.0,1745
8,286.89,199.28,100.65,36.165,78.817,5036.9,52923.077,0.9987,0.0,,0.0,0.0,1720
16,463.71,198.18,100.1,42.121,79.439,6155.378,60988.235,0.9987,0.0,,0.0,0.0,1672
32,619.96,65.04,40.3,50.211,87.742,8600.427,105718.182,0.9988,0.0,,0.0,0.0,1571
64,753.79,59.73,40.24,52.892,96.142,11013.514,115418.75,0.9988,0.0,,0.0,0.0,1333
128,764.61,59.64,40.13,63.951,99.587,13367.347,114521.739,0.999,0.0,,0.0,0.0,930
