concurrency,completed_turns,failed_turns,request_throughput_per_s,output_throughput_tok_per_s,total_token_throughput_tok_per_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,isl_median,osl_median,cache_hit_rate
4,1769,0,0.3467,516.64,2761.85,197.4,211.98,364.54,7.5,8.63,9.57,6001.79,40382.35,65637.2,5369,766,0.0
8,1769,0,0.5378,801.38,4283.99,200.57,215.62,367.44,9.68,11.19,12.97,7701.78,51718.99,81347.38,5369,766,0.0
16,1769,0,0.7354,1095.87,5858.26,202.88,298.03,490.75,14.18,16.37,18.34,10953.02,75779.62,114591.72,5369,766,0.0
32,1769,0,0.9359,1394.66,7455.48,210.63,358.6,557.28,21.08,24.3,30.95,15676.1,110111.56,159216.78,5369,766,0.0
64,1769,0,1.1772,1754.22,9377.58,221.12,391.98,769.96,30.98,38.09,64.9,22609.12,153423.26,225845.46,5369,766,0.0
128,1769,0,1.3582,2024.0,10819.78,230.89,740.7,799.93,41.2,66.6,94.11,25622.35,194497.17,282652.67,5369,766,0.0
