timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:17:07.838, 2, 221.65 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:07.838, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:08.838, 0, 228.57 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:08.838, 1, 226.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:08.838, 2, 221.73 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:08.838, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:09.838, 0, 229.31 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:09.838, 1, 226.67 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:09.838, 2, 221.81 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:09.838, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:10.838, 0, 451.48 W, 37, 2070 MHz, 3996 MHz, 100 %, 35 %
2026/06/07 23:17:10.839, 1, 468.40 W, 37, 2070 MHz, 3996 MHz, 100 %, 37 %
2026/06/07 23:17:10.839, 2, 446.89 W, 37, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:17:10.839, 3, 437.82 W, 37, 2070 MHz, 3996 MHz, 100 %, 36 %
2026/06/07 23:17:11.839, 0, 299.04 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:11.839, 1, 281.39 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:11.839, 2, 298.07 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:11.839, 3, 298.82 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:12.839, 0, 230.26 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:12.839, 1, 226.82 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:12.839, 2, 223.28 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:12.839, 3, 225.99 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
