concurrency,output_tput_per_gpu_steady,intvty_steady,tpot_steady_ms,ttft_p50_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,gpu_prefix_cache_hit_rate,gpu_kv_usage_perc,cpu_kv_usage_perc,num_running,num_waiting,completed_turns
4,112.69,112.69,8.874,54.874,188.742,7036.697,73227.273,0.0,0.0,,1.0,0.0,1745
8,203.68,101.84,9.819,52.632,180.0,7709.091,82117.647,0.0,0.0,,1.0,0.0,1720
16,358.57,89.8,11.136,52.711,181.506,8988.506,92850.0,0.0,0.0,,1.0,0.0,1672
32,550.79,68.89,14.516,54.322,188.137,11924.603,143892.857,0.0,0.0,,1.0,0.0,1571
64,847.77,53.19,18.801,54.408,187.657,15286.458,161914.286,0.0,0.0,,1.0,0.0,1333
128,1308.18,42.04,23.787,57.764,194.065,17878.788,176944.444,0.0,0.0,,1.0,0.0,930
