concurrency,output_tput_per_gpu,intvty_p50,intvty_p99,ttft_p50_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,gpu_prefix_cache_hit_rate,gpu_kv_usage_perc,cpu_kv_usage_perc,num_running,num_waiting,completed_turns
4,156.83,199.6,100.81,66.129,246.76,4839.212,51961.538,,0.0,,0.0,0.0,1745
8,279.64,199.28,100.63,43.621,80.941,5266.16,53692.308,,0.0,,0.0,0.0,1720
16,453.97,198.14,100.06,45.705,87.733,6374.502,67200.0,0.9987,0.0,,0.0,0.0,1672
32,614.61,63.8,40.29,51.687,99.8,8658.798,105718.182,0.9988,0.0,,0.0,0.0,1571
64,751.73,59.63,40.24,56.313,138.917,11093.75,115370.526,0.9988,0.0,,0.0,0.0,1333
128,764.04,59.7,40.14,68.199,206.5,13144.33,114203.077,0.999,0.0,,0.0,0.0,928
