concurrency,output_tput_per_gpu_steady,intvty_steady,tpot_steady_ms,ttft_p50_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,gpu_prefix_cache_hit_rate,gpu_kv_usage_perc,cpu_kv_usage_perc,num_running,num_waiting,completed_turns
4,150.84,150.84,6.63,72.288,247.083,5139.405,54625.0,0.8994,0.0,,0.0,0.0,1745
8,279.98,139.99,7.143,44.872,92.93,5752.896,59800.0,0.9987,0.0,,0.0,0.0,1720
16,492.45,123.51,8.097,46.046,82.682,6828.794,72228.571,0.9987,0.0,,0.0,0.0,1672
64,1062.38,66.42,15.056,57.686,132.382,11297.17,115645.545,0.9988,0.0,,0.0,0.0,1333
128,1629.88,53.68,18.629,69.281,214.269,13470.874,116214.706,0.999,0.0,,0.0,0.0,929
