2026/06/09 22:09:31.092, 0, 233.86, 0, 35, 245980
2026/06/09 22:09:31.098, 1, 224.42, 0, 34, 245994
2026/06/09 22:09:31.101, 2, 225.81, 0, 34, 246824
2026/06/09 22:09:31.103, 3, 230.00, 0, 34, 246824
2026/06/09 22:09:32.106, 0, 463.51, 49, 41, 248252
2026/06/09 22:09:32.106, 1, 441.96, 12, 37, 248250
2026/06/09 22:09:32.106, 2, 226.65, 0, 35, 246824
2026/06/09 22:09:32.106, 3, 230.03, 0, 34, 246824
2026/06/09 22:09:33.106, 0, 235.03, 0, 36, 248252
2026/06/09 22:09:33.106, 1, 225.98, 0, 34, 248250
2026/06/09 22:09:33.106, 2, 397.11, 100, 38, 246824
2026/06/09 22:09:33.106, 3, 398.42, 100, 37, 246824
2026/06/09 22:09:34.106, 0, 234.20, 0, 35, 248252
2026/06/09 22:09:34.107, 1, 224.69, 0, 34, 248250
2026/06/09 22:09:34.107, 2, 415.36, 100, 38, 246824
2026/06/09 22:09:34.107, 3, 418.47, 100, 38, 246824
2026/06/09 22:09:35.107, 0, 234.25, 0, 35, 248252
2026/06/09 22:09:35.107, 1, 224.91, 0, 34, 248250
2026/06/09 22:09:35.107, 2, 414.48, 100, 38, 246824
2026/06/09 22:09:35.107, 3, 417.17, 100, 38, 246824
2026/06/09 22:09:36.107, 0, 234.18, 0, 35, 248252
2026/06/09 22:09:36.107, 1, 224.54, 0, 34, 248250
2026/06/09 22:09:36.107, 2, 415.94, 100, 39, 246824
2026/06/09 22:09:36.107, 3, 418.02, 100, 38, 246824
2026/06/09 22:09:37.107, 0, 233.94, 0, 35, 248252
2026/06/09 22:09:37.107, 1, 224.59, 0, 34, 248250
2026/06/09 22:09:37.108, 2, 413.62, 100, 39, 246824
2026/06/09 22:09:37.108, 3, 417.39, 100, 38, 246824
2026/06/09 22:09:38.108, 0, 233.81, 0, 35, 248252
2026/06/09 22:09:38.108, 1, 224.11, 0, 34, 248250
2026/06/09 22:09:38.108, 2, 416.48, 100, 39, 246824
2026/06/09 22:09:38.108, 3, 419.44, 100, 38, 246824
2026/06/09 22:09:39.108, 0, 233.74, 0, 35, 248252
